Address 1,Address 2,Address 1 & 2,latitude,longitude,Level,Canonical Address 1,Canonical Address 2,Canonical Address 1 & 2
Kathmandu,Alapur,"Alapur, Kathmandu",27.74736204,85.43318381,VDC,Kathmandu,Aalapot,"Aalapot, Kathmandu"
Parsa,Alau,"Alau, Parsa",27.02564279,84.8369188,VDC,Parsa,Alau,"Alau, Parsa"
Dadeldhura,Alital,"Alital, Dadeldhura",29.08454658,80.50032744,VDC,Dadeldhura,Alital,"Alital, Dadeldhura"
Syangja,Almadevi,"Almadevi, Syangja",27.95315922,83.50700427,VDC,Syangja,Alamadevi,"Alamadevi, Syangja"
Saniya,Alpa company,"Alpa company, Saniya",0.0,0.0,'Unknown',Unknown,Unknown,"Unknown, Unknown"
Saniya,Alpacompany,"Alpacompany, Saniya",0.0,0.0,'Unknown',Unknown,Unknown,"Unknown, Unknown"
Bara,Amab,"Amab, Bara",27.04496734,85.148535,VDC,Bara,Avab,"Avab, Bara"
Sunsari,Amaduwa,"Amaduwa, Sunsari",26.42583599,87.21837488,VDC,Sunsari,Amaduwa,"Amaduwa, Sunsari"
Morang,Amahibariyati,"Amahibariyati, Morang",26.4361507,87.4119311,VDC,Morang,Amahibariyati,"Amahibariyati, Morang"
Sunsari,Amahibelaha,"Amahibelaha, Sunsari",26.45379756,87.19575707,VDC,Sunsari,Amahibelaha,"Amahibelaha, Sunsari"
Baglung,Amalachaur,"Amalachaur, Baglung",28.20307354,83.63519255,VDC,Baglung,Amalachaur,"Amalachaur, Baglung"
Sindhuli,Amale,"Amale, Sindhuli",27.31718878,85.86410271,VDC,Sindhuli,Amale,"Amale, Sindhuli"
Gulmi,Amar Arbathok,"Amar Arbathok, Gulmi",27.98447618,83.3000265,VDC,Gulmi,AmarArbathok,"AmarArbathok, Gulmi"
Surkhet,Amar dada,"Amar dada, Surkhet",28.63864146,81.58621913,District,Surkhet,,Surkhet
Nawalparasi,Amarapuri,"Amarapuri, Nawalparasi",27.68932625,84.26463862,VDC,Nawalparasi,Amarapuri,"Amarapuri, Nawalparasi"
Gulmi,Amararbathok,"Amararbathok, Gulmi",27.98447618,83.3000265,VDC,Gulmi,AmarArbathok,"AmarArbathok, Gulmi"
Kailali,Amarawati,"Amarawati, Kailali",28.7436197,80.87352184,District,Kailali,,Kailali
Baglung,Amarbhumi,"Amarbhumi, Baglung",28.28117953,83.39565508,VDC,Baglung,Amarbhumi,"Amarbhumi, Baglung"
Jhapa,Amardaha,"Amardaha, Jhapa",26.62827777,88.00695336,VDC,Jhapa,Anarmani,"Anarmani, Jhapa"
Morang,Amardaha,"Amardaha, Morang",26.5368745,87.5548458,VDC,Morang,Amardaha,"Amardaha, Morang"
Sunsari,Amardaha ,"Amardaha, Sunsari",26.42583599,87.21837488,VDC,Sunsari,Amaduwa,"Amaduwa, Sunsari"
Sindhuli,Amare  ,"Amare, Sindhuli",27.31718878,85.86410271,VDC,Sindhuli,Amale,"Amale, Sindhuli"
Dadeldhura,Amargadhi Municipality,"Amargadhi Municipality, Dadeldhura",29.30618865,80.57663146,VDC,Dadeldhura,AmargadhiN.P.,"AmargadhiN.P., Dadeldhura"
Dadeldhura,Amargadhin.P.,"Amargadhin.P., Dadeldhura",29.30618865,80.57663146,VDC,Dadeldhura,AmargadhiN.P.,"AmargadhiN.P., Dadeldhura"
Surkhet,Amargunj ,"Amargunj, Surkhet",28.63864146,81.58621913,District,Surkhet,,Surkhet
Bara,Amarpatti,"Amarpatti, Bara",26.94915235,85.1029887,VDC,Bara,Amarpatti,"Amarpatti, Bara"
Parsa,Amarpatti,"Amarpatti, Parsa",27.00414344,84.79739978,VDC,Parsa,Amarpatti,"Amarpatti, Parsa"
Gulmi,Amarpur,"Amarpur, Gulmi",28.14578339,83.16730223,VDC,Gulmi,Amarpur,"Amarpur, Gulmi"
Panchthar,Amarpur,"Amarpur, Panchthar",27.26300547,87.73137653,VDC,Panchthar,Amarpur,"Amarpur, Panchthar"
Badlikhe,Amauri,"Amauri, Badlikhe",22.1871,76.44,City,Badlikhe,Amauri,"Amauri, Badlikhe"
Rupandehi,Amawa,"Amawa, Rupandehi",27.59593459,83.39758132,VDC,Rupandehi,Amuwa,"Amuwa, Rupandehi"
Siraha,Ambas,"Ambas, Siraha",26.74398237,86.352711,District,Siraha,,Siraha
Taplejung,Ambegudin,"Ambegudin, Taplejung",27.33657547,87.83390229,VDC,Taplejung,Ambegudin,"Ambegudin, Taplejung"
Makwanpur,Ambhanjyang,"Ambhanjyang, Makwanpur",27.45041014,85.09913622,VDC,Makwanpur,Ambhanjyang,"Ambhanjyang, Makwanpur"
Sindhuli,Ambote,"Ambote, Sindhuli",27.09759723,86.20771937,VDC,Sindhuli,TribhuvanAmbote,"TribhuvanAmbote, Sindhuli"
Tanahnu,Ambukhaireni,"Ambukhaireni, Tanahnu",27.88741845,84.49684394,VDC,Tanahu,Anbukhaireni,"Anbukhaireni, Tanahu"
Tanahu,Ambukhaireni,"Ambukhaireni, Tanahu",27.88741845,84.49684394,VDC,Tanahu,Anbukhaireni,"Anbukhaireni, Tanahu"
Terhathum,Ambung,"Ambung, Terhathum",27.19161025,87.50463924,VDC,Terhathum,Ambung,"Ambung, Terhathum"
Baitadi,Amchaur,"Amchaur, Baitadi",29.45121601,80.32640645,VDC,Baitadi,Amchaur,"Amchaur, Baitadi"
Ilam,Amchok,"Amchok, Ilam",26.97257794,87.73305422,VDC,Ilam,Amchok,"Amchok, Ilam"
