Address 1,Address 2,Canonical Address 1 & 2,latitude,longitude,Level,Lat/Long
Baitadi,Shankarpur,"Shankarpur, Baitadi",29.51863447,80.64112949,VDC,29.5186344651637 - 80.6411294888529VDC
Kanchanpur,Shankarpur,"Shankarpur, Kanchanpur",28.75341943,80.40208911,VDC,28.7534194275949 - 80.402089111303VDC
Sarlahi,Shankarpur,"Shankarpur, Sarlahi",27.04111486,85.48575156,VDC,27.0411148567233 - 85.4857515622696VDC
Birgunj,Shanti Lodge,"Shanti Lodge, Birgunj",27.011912,84.88613,Building,27.011912 - 84.88613Building
Ilam,Shantidanda,"Shantidanda, Ilam",26.9477232,87.88398458,VDC,26.947723204148 - 87.8839845781044VDC
Dang,Shantinagar,"Shantinagar, Dang",28.18281694,82.22394091,VDC,28.1828169355126 - 82.2239409100458VDC
Jhapa,Shantinagar,"Shantinagar, Jhapa",26.74012406,88.08773124,VDC,26.7401240615968 - 88.0877312373158VDC
Assam,Shantipur,"Shantipur, Assam",23.249,88.433,City,23.249 - 88.433City
Dhanusa,Shantipur,"Shantipur, Dhanusa",26.85402087,85.93251536,VDC,26.8540208674323 - 85.9325153560268VDC
Gulmi,Shantipur,"Shantipur, Gulmi",28.11142172,83.43536051,VDC,28.1114217200707 - 83.4353605099192VDC
Ilam,Shantipur,"Shantipur, Ilam",26.80853671,88.00745046,VDC,26.8085367092918 - 88.0074504554612VDC
Jhapa,Sharanamati,"Sharanamati, Jhapa",26.52711902,87.88230688,VDC,26.5271190150044 - 87.8823068837467VDC
Darchula,Sharmauli,"Sharmauli, Darchula",29.64520718,80.48454468,VDC,29.6452071839236 - 80.4845446821397VDC
Kathmandu,Sheshnarayan,"Sheshnarayan, Kathmandu",27.62880498,85.26442018,VDC,27.6288049765224 - 85.264420180717VDC
Baitadi,Shibanath,"Shibanath, Baitadi",29.42331657,80.37133138,VDC,29.4233165709184 - 80.3713313814129VDC
Myagdi,Shikha,"Shikha, Myagdi",28.4619977,83.70323238,VDC,28.4619977039898 - 83.7032323756893VDC
Nuwakot,Shikharbesi,"Shikharbesi, Nuwakot",27.98820439,85.38999871,VDC,27.9882043900261 - 85.3899987102279VDC
Baitadi,Shikharpur,"Shikharpur, Baitadi",29.51074309,80.67816304,VDC,29.510743088 - 80.6781630383771VDC
Makwanpur,Shikharpur,"Shikharpur, Makwanpur",27.39287144,85.30269647,VDC,27.3928714403756 - 85.3026964668025VDC
Meghalaya,Shillong,"Shillong, Meghalaya",25.5667,91.8833,City,25.5667 - 91.8833City
Kapilbastu,Shipanagar,"Shipanagar, Kapilbastu",27.51534313,82.81125821,VDC,27.5153431284834 - 82.8112582088765VDC
Rautahat,ShitalpurBairgania,"ShitalpurBairgania, Rautahat",26.97301289,85.21464858,VDC,26.9730128931687 - 85.2146485814403VDC
Kapilbastu,Shivagadhi,"Shivagadhi, Kapilbastu",27.72089176,82.79044237,VDC,27.7208917557085 - 82.7904423714761VDC
Jhapa,Shivaganj,"Shivaganj, Jhapa",26.59223841,87.8345858,VDC,26.5922384108121 - 87.834585799796VDC
Parbat,Shivalaya,"Shivalaya, Parbat",28.22258451,83.67707277,VDC,28.2225845054715 - 83.6770727710757VDC
Baitadi,Shivaling,"Shivaling, Baitadi",29.46370551,80.83853819,VDC,29.463705509158 - 80.8385381916021VDC
Kapilbastu,Shivapur,"Shivapur, Kapilbastu",27.71126055,82.86668426,VDC,27.7112605473591 - 82.8666842595067VDC
Salyan,Shivarath,"Shivarath, Salyan",28.5105887,82.33827267,VDC,28.5105887035333 - 82.3382726736776VDC
Parsa,ShivaWorga,"ShivaWorga, Parsa",27.08026106,84.78006361,VDC,27.0802610584017 - 84.780063605983VDC
Nawalparasi,Shivmandir,"Shivmandir, Nawalparasi",27.68938838,84.13365418,VDC,27.6893883838817 - 84.1336541836665VDC
Udayapur,ShorungChabise,"ShorungChabise, Udayapur",27.0993992,86.44489564,VDC,27.0993992014444 - 86.4448956402162VDC
Ilam,ShreeAntu,"ShreeAntu, Ilam",26.89714383,88.12886582,VDC,26.8971438261065 - 88.128865817492VDC
Lamjung,ShreeBhanjyang,"ShreeBhanjyang, Lamjung",28.18474318,84.46882023,VDC,28.1847431771824 - 84.4688202342265VDC
Okhaldhunga,Shreechaur,"Shreechaur, Okhaldhunga",27.37721296,86.39114728,VDC,27.3772129597042 - 86.3911472839436VDC
Dang,Shreegaun,"Shreegaun, Dang",28.12291703,82.17684119,VDC,28.1229170332619 - 82.1768411943757VDC
Terhathum,ShreeJung,"ShreeJung, Terhathum",27.25977435,87.51340054,VDC,27.2597743546693 - 87.5134005355497VDC
Mugu,Shreekot,"Shreekot, Mugu",29.53516286,81.89877889,VDC,29.5351628614279 - 81.8987788888036VDC
Syangja,ShreekrishnaGandaki,"ShreekrishnaGandaki, Syangja",27.95235144,83.59735122,VDC,27.952351440235 - 83.5973512206737VDC
Humla,Shreemastha,"Shreemastha, Humla",29.91202272,82.26004241,VDC,29.9120227236167 - 82.2600424071491VDC
Humla,ShreeNagar,"ShreeNagar, Humla",29.67316876,81.88610298,VDC,29.6731687565509 - 81.8861029758792VDC
Mugu,ShreeNagar,"ShreeNagar, Mugu",29.56548563,82.15043304,VDC,29.5654856335216 - 82.1504330424498VDC
Bara,ShreenagarBairiya,"ShreenagarBairiya, Bara",26.89385057,85.09056134,VDC,26.8938505742192 - 85.0905613358029VDC
Gorkha,Shreenathkot,"Shreenathkot, Gorkha",28.082031,84.63354497,VDC,28.0820310003979 - 84.6335449654157VDC
Sarlahi,Shreepur,"Shreepur, Sarlahi",26.95375048,85.49208952,VDC,26.9537504764699 - 85.4920895187318VDC
Makwanpur,ShreepurChhatiwan,"ShreepurChhatiwan, Makwanpur",27.31849366,85.20520378,VDC,27.3184936571868 - 85.2052037835751VDC
Birgunj,Shubhakamana,"Shubhakamana, Birgunj",27.012812,84.883448,Building,27.012812 - 84.883448Building
Bhojpur,Shyamsila,"Shyamsila, Bhojpur",27.16495356,87.11000825,VDC,27.1649535550485 - 87.110008247779VDC
Tanahu,Shymgha,"Shymgha, Tanahu",28.0600967,84.21592334,VDC,28.0600967000925 - 84.215923344019VDC
Chitawan,Sibanagar,"Sibanagar, Chitawan",27.61936018,84.35138163,VDC,27.6193601786572 - 84.3513816291916VDC
Dhanusa,Siddha,"Siddha, Dhanusa",26.69979726,86.06089004,VDC,26.6997972601854 - 86.0608900428004VDC
Kaski,Siddha,"Siddha, Kaski",28.11651694,84.19647452,VDC,28.1165169399717 - 84.196474516836VDC
Sankhuwasabha,Siddhakali,"Siddhakali, Sankhuwasabha",27.31209356,87.39136381,VDC,27.3120935638965 - 87.3913638052383VDC
Sankhuwasabha,Siddhapokhari,"Siddhapokhari, Sankhuwasabha",27.35310387,87.39534056,VDC,27.3531038704166 - 87.3953405622342VDC
Baitadi,Siddhapur,"Siddhapur, Baitadi",29.4172893,80.6715144,VDC,29.4172892985966 - 80.6715143977746VDC
Arghakhanchi,Siddhara,"Siddhara, Arghakhanchi",27.84131293,82.91403252,VDC,27.8413129284904 - 82.914032522489VDC
Rupandehi,SiddharthNagarN.P.,"SiddharthNagarN.P., Rupandehi",27.50707893,83.44455676,VDC,27.5070789303513 - 83.4445567604722VDC
Salyan,Siddheswari,"Siddheswari, Salyan",28.45920155,82.20076387,VDC,28.459201546727 - 82.2007638731791VDC
Achham,Siddheswor,"Siddheswor, Achham",29.25175679,81.20893582,VDC,29.2517567886426 - 81.2089358236725VDC
Baitadi,Siddheswor,"Siddheswor, Baitadi",29.44288967,80.63491581,VDC,29.4428896717576 - 80.6349158060468VDC
Bhojpur,Siddheswor,"Siddheswor, Bhojpur",27.21292319,87.03003815,VDC,27.2129231863115 - 87.0300381500647VDC
Palpa,Siddheswor,"Siddheswor, Palpa",27.94402511,83.37086248,VDC,27.9440251052749 - 83.3708624823921VDC
Ilam,Siddhithumka,"Siddhithumka, Ilam",26.85774908,87.83756837,VDC,26.8577490771159 - 87.837568367543VDC
Chitawan,Siddi,"Siddi, Chitawan",27.70374199,84.64684225,VDC,27.7037419911638 - 84.6468422466207VDC
Morang,Sidharaha,"Sidharaha, Morang",26.5363774,87.35712641,VDC,26.5363774023854 - 87.3571264129768VDC
Lalitpur,Sidhdipur,"Sidhdipur, Lalitpur",27.64253722,85.36048372,VDC,27.6425372155239 - 85.360483716899VDC
Udayapur,Sidhdipur,"Sidhdipur, Udayapur",26.85818403,86.86599692,VDC,26.8581840349123 - 86.8659969239842VDC
Panchthar,Sidin,"Sidin, Panchthar",27.14109301,87.92797745,VDC,27.1410930130732 - 87.9279774523714VDC
Dailekh,Sigaudi,"Sigaudi, Dailekh",28.99581519,81.45015099,VDC,28.9958151938601 - 81.4501509902046VDC
Bara,Sihorwa,"Sihorwa, Bara",27.04913051,85.09820417,VDC,27.0491305075432 - 85.0982041656544VDC
Morang,Sijuwa,"Sijuwa, Morang",26.47753383,87.62593033,VDC,26.4775338262119 - 87.6259303311679VDC
Taplejung,Sikaicha,"Sikaicha, Taplejung",27.38827332,87.8008455,VDC,27.3882733150991 - 87.800845502159VDC
Baitadi,Sikash,"Sikash, Baitadi",29.42853606,80.75042817,VDC,29.4285360644756 - 80.7504281694118VDC
Rupandehi,Sikatahan,"Sikatahan, Rupandehi",27.55852822,83.56274101,VDC,27.5585282239857 - 83.5627410074438VDC
Darchula,Sikhar,"Sikhar, Darchula",29.70305657,80.65716079,VDC,29.7030565708482 - 80.6571607904926VDC
Kavrepalanchok,SikharAmbote,"SikharAmbote, Kavrepalanchok",27.48315625,85.60542709,VDC,27.4831562515479 - 85.6054270931147VDC
Sindhupalchok,Sikharpur,"Sikharpur, Sindhupalchok",27.81266785,85.59604443,VDC,27.8126678507544 - 85.5960444320775VDC
Sarlahi,Sikhauna,"Sikhauna, Sarlahi",26.87322115,85.43287312,VDC,26.8732211473031 - 85.4328731215899VDC
Sikkim,,Sikkim,27.33,88.62,State,27.33 - 88.62State
Nuwakot,Sikre,"Sikre, Nuwakot",27.83565848,85.37576938,VDC,27.8356584771368 - 85.375769376602VDC
Siraha,Sikron,"Sikron, Siraha",26.79996183,86.19199875,VDC,26.7999618270194 - 86.1919987500087VDC
Bihar,Sikta,"Sikta, Bihar",27.1853,84.4533,City,27.1853 - 84.4533City
Baitadi,Silanga,"Silanga, Baitadi",29.42629914,80.58222378,VDC,29.4262991386654 - 80.5822237758512VDC
Rupandehi,Silautiya,"Silautiya, Rupandehi",27.38752767,83.36359247,VDC,27.3875276731623 - 83.363592473509VDC
Kaski,Sildujure,"Sildujure, Kaski",28.30385948,84.05815794,VDC,28.303859476575 - 84.0581579375726VDC
Darjeeling,Siliguri,"Siliguri, Darjeeling",26.71,88.43,City,26.71 - 88.43City
Siraha,SilorbaPachhawari,"SilorbaPachhawari, Siraha",26.68339314,86.3155889,VDC,26.6833931375773 - 86.3155889010216VDC
Palpa,Siluwa,"Siluwa, Palpa",27.81620965,83.83906348,VDC,27.8162096499538 - 83.8390634818302VDC
Jajarkot,Sima,"Sima, Jajarkot",28.6646259,81.96091572,VDC,28.664625900296 - 81.9609157168644VDC
Arghakhanchi,Simalapani,"Simalapani, Arghakhanchi",27.79352971,83.18432772,VDC,27.7935297077116 - 83.1843277245535VDC
